Date,Revenue,MA_7,MA_30,Month_Name,Month_Number,Weekday,Weekend,Year,Month,Quarter,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_30,RollingMean7,RollingMean14,RollingMean30,RollingStd7,RollingStd30
2016-10-24,0.0,0.0,2478.4486666666667,October,10,Monday,0,2016,10,4,43,24,0,0.0,0.0,0.0,0.0,5345.53,0.0,0.0,0.0,2478.4486666666667,0.0,4797.7636155032105
2016-10-25,0.0,0.0,2478.4486666666667,October,10,Tuesday,0,2016,10,4,43,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.4486666666667,0.0,4797.7636155032105
2016-10-26,0.0,0.0,2478.4486666666667,October,10,Wednesday,0,2016,10,4,43,26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.4486666666667,0.0,4797.7636155032105
2016-10-27,0.0,0.0,2478.4486666666667,October,10,Thursday,0,2016,10,4,43,27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.4486666666667,0.0,4797.7636155032105
2016-10-28,0.0,0.0,2478.4486666666667,October,10,Friday,0,2016,10,4,43,28,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.4486666666667,0.0,4797.7636155032105
2016-10-29,0.0,0.0,2478.4486666666667,October,10,Saturday,1,2016,10,4,43,29,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.4486666666667,0.0,4797.7636155032105
2016-10-30,0.0,0.0,2478.4486666666667,October,10,Sunday,1,2016,10,4,43,30,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.4486666666667,0.0,4797.7636155032105
2016-10-31,0.0,0.0,2478.4486666666667,October,10,Monday,0,2016,10,4,44,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2478.4486666666667,0.0,4797.7636155032105
2016-11-01,0.0,0.0,2474.8040000000005,November,11,Tuesday,0,2016,11,4,44,1,1,0.0,0.0,0.0,0.0,0.0,109.34,0.0,0.0,2474.8040000000005,0.0,4799.666543762648
2016-11-02,0.0,0.0,2454.9660000000003,November,11,Wednesday,0,2016,11,4,44,2,2,0.0,0.0,0.0,0.0,0.0,595.14,0.0,0.0,2454.9660000000003,0.0,4808.92446469213
2016-11-03,0.0,0.0,2006.428,November,11,Thursday,0,2016,11,4,44,3,3,0.0,0.0,0.0,0.0,0.0,13456.14,0.0,0.0,2006.428,0.0,4353.4065902695975
2016-11-04,0.0,0.0,1481.3183333333334,November,11,Friday,0,2016,11,4,44,4,4,0.0,0.0,0.0,0.0,0.0,15753.29,0.0,0.0,1481.3183333333334,0.0,3505.6095582760554
2016-11-05,0.0,0.0,1104.2346666666667,November,11,Saturday,1,2016,11,4,44,5,5,0.0,0.0,0.0,0.0,0.0,11312.51,0.0,0.0,1104.2346666666667,0.0,2980.7767128554956
2016-11-06,0.0,0.0,758.1910000000001,November,11,Sunday,1,2016,11,4,44,6,6,0.0,0.0,0.0,0.0,0.0,10381.31,0.0,0.0,758.1910000000001,0.0,2415.6721448210824
2016-11-07,0.0,0.0,408.0206666666667,November,11,Monday,0,2016,11,4,45,7,0,0.0,0.0,0.0,0.0,0.0,10505.11,0.0,0.0,408.0206666666667,0.0,1566.0463193505068
2016-11-08,0.0,0.0,178.1843333333334,November,11,Tuesday,0,2016,11,4,45,8,1,0.0,0.0,0.0,0.0,0.0,6895.09,0.0,0.0,178.1843333333334,0.0,975.9557876068662
2016-11-09,0.0,0.0,6.063298011819522e-14,November,11,Wednesday,0,2016,11,4,45,9,2,0.0,0.0,0.0,0.0,0.0,5345.53,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
2016-11-10,0.0,0.0,6.063298011819522e-14,November,11,Thursday,0,2016,11,4,45,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
2016-11-11,0.0,0.0,6.063298011819522e-14,November,11,Friday,0,2016,11,4,45,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
2016-11-12,0.0,0.0,6.063298011819522e-14,November,11,Saturday,1,2016,11,4,45,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
2016-11-13,0.0,0.0,6.063298011819522e-14,November,11,Sunday,1,2016,11,4,45,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
2016-11-14,0.0,0.0,6.063298011819522e-14,November,11,Monday,0,2016,11,4,46,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
2016-11-15,0.0,0.0,6.063298011819522e-14,November,11,Tuesday,0,2016,11,4,46,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
2016-11-16,0.0,0.0,6.063298011819522e-14,November,11,Wednesday,0,2016,11,4,46,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
2016-11-17,0.0,0.0,6.063298011819522e-14,November,11,Thursday,0,2016,11,4,46,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.063298011819522e-14,0.0,7.432164089022753e-05
