Feature,Importance
shipping_days,0.11513573395714899
payment_value,0.10084424924376431
freight_value,0.09328110290739706
price,0.08694240065701177
product_description_lenght,0.08079552474448987
product_volume_cm3,0.07439580609440963
product_weight_g,0.0727701502529992
product_name_lenght,0.06512623451482771
payment_installments,0.0535865583973031
product_photos_qty,0.0319455897993132
processing_days,0.022241689903762185
payment_type_credit_card,0.013958914207255604
customer_state_RJ,0.007477852148401783
product_category_name_beleza_saude,0.006212505787727632
customer_state_SP,0.006156438095767399
product_category_name_esporte_lazer,0.006119939615273117
product_category_name_cama_mesa_banho,0.0061169460971084765
product_category_name_moveis_decoracao,0.005925454038388794
seller_state_SP,0.005320725082416934
product_category_name_informatica_acessorios,0.005121427296519391
product_category_name_automotivo,0.004210871749975099
customer_state_MG,0.004205676421517956
product_category_name_utilidades_domesticas,0.004163349783196448
product_category_name_brinquedos,0.004010135539008123
customer_state_RS,0.003907936481586132
customer_state_SC,0.0038857632637691107
product_category_name_relogios_presentes,0.003810823971126319
product_category_name_bebes,0.003710815740127607
customer_state_BA,0.0035332090285584068
product_category_name_telefonia,0.0033215819594636735
product_category_name_perfumaria,0.0032582287072993286
product_category_name_papelaria,0.0032451354880899492
payment_type_voucher,0.0031725625024269385
product_category_name_ferramentas_jardim,0.0031525055057506635
product_category_name_cool_stuff,0.00314081875483271
product_category_name_eletronicos,0.003048604307798156
customer_state_PR,0.002947294004594853
seller_state_PR,0.00291083834499382
seller_state_MG,0.002787617055973746
customer_state_GO,0.0026861561899051813
seller_state_RJ,0.0026538751386430298
customer_state_ES,0.0025927723440358915
customer_state_DF,0.0024981332152177404
customer_state_CE,0.0023745653492787504
payment_type_debit_card,0.002317654741195355
customer_state_PE,0.0022212856953224315
product_category_name_moveis_escritorio,0.0021897936172142855
customer_state_MA,0.0021169691706711055
seller_state_SC,0.002037237226913832
product_category_name_fashion_bolsas_e_acessorios,0.0019798217222502922
customer_state_PA,0.0019042463754342306
product_category_name_pet_shop,0.0018988372539990874
customer_state_AL,0.0018147038391615109
customer_state_MS,0.0018061572568715525
product_category_name_consoles_games,0.0017646919466813929
customer_state_MT,0.001500467452306986
product_category_name_construcao_ferramentas_construcao,0.00148569813607687
product_category_name_instrumentos_musicais,0.0014747373573127508
customer_state_PB,0.0014445933657431514
customer_state_SE,0.0014242393022612016
customer_state_PI,0.0013752635812216663
product_category_name_malas_acessorios,0.0013458728517489293
product_category_name_audio,0.0012979611323247077
seller_state_MA,0.0012369830200957826
product_category_name_eletroportateis,0.0012264363848704587
customer_state_RN,0.0012257473502059392
product_category_name_casa_conforto,0.001155597756388641
product_category_name_livros_interesse_geral,0.0010825762866812048
seller_state_RS,0.0010602635865338307
seller_state_DF,0.0010303236911502916
product_category_name_casa_construcao,0.0010101813164781264
product_category_name_eletrodomesticos,0.0010062991833353482
customer_state_TO,0.0008813277423789394
product_category_name_construcao_ferramentas_iluminacao,0.0008007481771682333
product_category_name_moveis_sala,0.0007625915988613856
product_category_name_alimentos,0.0007423340251890421
product_category_name_livros_tecnicos,0.0006687477160401175
product_category_name_bebidas,0.0006472329568908262
product_category_name_artigos_de_natal,0.0006178373788203584
product_category_name_industria_comercio_e_negocios,0.0005763429806908191
product_category_name_climatizacao,0.000554636936021499
customer_state_RO,0.0005326978482615314
product_category_name_fashion_calcados,0.0005111411342008145
product_category_name_construcao_ferramentas_jardim,0.0004941232733180385
product_category_name_fashion_underwear_e_moda_praia,0.0004793827214504291
seller_state_GO,0.00046050836913700947
product_category_name_telefonia_fixa,0.0004591958463501824
product_category_name_alimentos_bebidas,0.0004299279611705515
product_category_name_eletrodomesticos_2,0.00042444759584485186
seller_state_ES,0.000423014743348321
product_category_name_artes,0.0004201746772052865
seller_state_BA,0.0004171723818510702
product_category_name_market_place,0.0004055865784285398
product_category_name_sinalizacao_e_seguranca,0.0003710029454596186
product_category_name_moveis_cozinha_area_de_servico_jantar_e_jardim,0.0003669930782084518
seller_state_PE,0.0003328013529209806
product_category_name_agro_industria_e_comercio,0.0003318895543109254
product_category_name_tablets_impressao_imagem,0.0003156063828703809
product_category_name_dvds_blu_ray,0.00030652197091507916
product_category_name_moveis_quarto,0.0003032738653311232
product_category_name_casa_conforto_2,0.00029773630688357427
product_category_name_construcao_ferramentas_ferramentas,0.0002953699077774759
customer_state_AM,0.0002937883610602391
product_category_name_fashion_roupa_masculina,0.00027700067589517637
customer_state_RR,0.00025150338404042975
product_category_name_cine_foto,0.00022594367368381236
customer_state_AP,0.0002168546445810532
product_category_name_moveis_colchao_e_estofado,0.00019628371028407933
product_category_name_portateis_casa_forno_e_cafe,0.00015592777443990753
seller_state_CE,0.00015509774603512128
product_category_name_construcao_ferramentas_seguranca,0.00015241050054937155
product_category_name_pcs,0.0001480783148470156
seller_state_MS,0.00014476775307129292
product_category_name_fashion_roupa_feminina,0.00014265548411705143
seller_state_MT,0.00014163282405665426
product_category_name_musica,0.00013815625413449167
product_category_name_livros_importados,0.00011742145459650924
product_category_name_portateis_cozinha_e_preparadores_de_alimentos,0.00011407191922107141
product_category_name_artes_e_artesanato,0.00010333986091438262
seller_state_RN,0.00010061811375315093
product_category_name_flores,5.875264943081766e-05
seller_state_PB,4.152189149548855e-05
product_category_name_fraldas_higiene,1.326846576662424e-05
product_category_name_artigos_de_festas,1.2922478616914438e-05
product_category_name_fashion_esporte,7.5220122547187455e-06
product_category_name_fashion_roupa_infanto_juvenil,4.307941423587261e-06
seller_state_PI,3.38977618103362e-06
product_category_name_pc_gamer,2.658543705612655e-06
product_category_name_cds_dvds_musicais,2.1981249090537275e-06
seller_state_RO,2.196817918293362e-06
product_category_name_la_cuisine,2.1499370881051683e-06
seller_state_SE,2.0997260518718397e-06
seller_state_PA,1.139921828854693e-06
product_category_name_seguros_e_servicos,7.969678360421163e-07
