Feature,Importance
delivery_delay_days,0.12366781872786888
delivery_days,0.08990453221703429
payment_value,0.07281114447991129
distance_km,0.07055213312041796
freight_value,0.061131275600515365
price,0.05977298387352617
product_description_lenght,0.051758204061349025
product_weight_g,0.04658808658152462
shipping_days,0.04342057282338858
product_name_lenght,0.04320216740212688
product_height_cm,0.03928878912353381
product_length_cm,0.0366012240261597
product_width_cm,0.03652567417341143
payment_installments,0.03177121251407328
product_photos_qty,0.02065941135537671
processing_days,0.01406978868999484
payment_type_credit_card,0.009688331824832714
customer_state_SP,0.006408032796538765
customer_state_MG,0.006107047866542042
customer_state_RJ,0.005792932307406814
seller_state_SP,0.005325846408124262
customer_state_PR,0.004052574442032889
product_category_name_cama_mesa_banho,0.004023561545424834
customer_state_RS,0.003925750709592082
product_category_name_utilidades_domesticas,0.0038813231248735454
product_category_name_moveis_decoracao,0.0038451557466418857
product_category_name_informatica_acessorios,0.0038423531714121112
product_category_name_esporte_lazer,0.0038181333545820114
product_category_name_beleza_saude,0.0037128945219778975
customer_state_SC,0.0034060632066041756
seller_state_MG,0.003268840320238159
seller_state_PR,0.00315503213500385
product_category_name_automotivo,0.002909379613102836
product_category_name_relogios_presentes,0.002700317608233319
customer_state_BA,0.002694863851592662
payment_type_voucher,0.0025831279156665415
product_category_name_brinquedos,0.0025749586708855533
product_category_name_bebes,0.0025341474649757056
customer_state_GO,0.0024930281686783755
product_category_name_ferramentas_jardim,0.002428711699275117
customer_state_DF,0.002414080352378516
customer_state_ES,0.002370789386339554
product_category_name_telefonia,0.002367775165243189
product_category_name_cool_stuff,0.0023517359809558445
seller_state_RJ,0.002328384286628862
seller_state_SC,0.0022325880314275053
product_category_name_perfumaria,0.0021371636728979896
payment_type_debit_card,0.0019509590424215406
product_category_name_eletronicos,0.0018510719763408193
product_category_name_pet_shop,0.001710131641014975
product_category_name_papelaria,0.0015928246375143645
customer_state_PE,0.001582777265643243
product_category_name_fashion_bolsas_e_acessorios,0.0013995800671693956
product_category_name_moveis_escritorio,0.0013661009771116803
customer_state_CE,0.001331518399049761
customer_state_MT,0.0013310532089303142
seller_state_RS,0.0013174725833950867
product_category_name_construcao_ferramentas_construcao,0.001284168426676454
product_category_name_consoles_games,0.0012488036540639468
customer_state_PA,0.0011265912102048706
customer_state_MS,0.0011077098668389469
customer_state_MA,0.0009845551319679713
product_category_name_casa_construcao,0.000979262100447408
product_category_name_eletrodomesticos,0.0008936490101236928
seller_state_DF,0.0008785522406654203
product_category_name_malas_acessorios,0.000834095980956035
customer_state_PB,0.0007878243224115073
product_category_name_eletroportateis,0.0007868207232084843
customer_state_PI,0.0007309668038289023
product_category_name_audio,0.0007283903302288576
product_category_name_instrumentos_musicais,0.0006958233977019623
product_category_name_casa_conforto,0.0006574701660724725
customer_state_RN,0.0006200985084604448
product_category_name_telefonia_fixa,0.0006055549048118729
product_category_name_moveis_sala,0.0006036692368218637
product_category_name_market_place,0.000592334912626427
product_category_name_alimentos,0.0005794317399715073
product_category_name_construcao_ferramentas_iluminacao,0.0005786933004432368
customer_state_SE,0.0005667869065872125
customer_state_AL,0.000565342847152381
product_category_name_climatizacao,0.0005439141560827223
customer_state_TO,0.0005312100519361951
product_category_name_bebidas,0.0005269695713556338
product_category_name_sinalizacao_e_seguranca,0.0005130996784828214
product_category_name_livros_interesse_geral,0.0004991193037799285
seller_state_GO,0.0004525034139148629
seller_state_BA,0.00044741845531482826
customer_state_RO,0.00043930143569807345
product_category_name_moveis_cozinha_area_de_servico_jantar_e_jardim,0.00043153661519084043
product_category_name_construcao_ferramentas_seguranca,0.0004129020219576331
seller_state_ES,0.000408021826883298
product_category_name_industria_comercio_e_negocios,0.00040098060707831405
product_category_name_artes,0.0003998784462263482
product_category_name_fashion_roupa_masculina,0.00039442312495691014
product_category_name_livros_tecnicos,0.00034571907603573286
seller_state_PE,0.00034250704773700096
product_category_name_alimentos_bebidas,0.00033227499215103854
customer_state_AM,0.0003299155194494152
product_category_name_construcao_ferramentas_jardim,0.00032937247631757385
product_category_name_artigos_de_natal,0.00031460943010164417
product_category_name_eletrodomesticos_2,0.0003101400579323334
product_category_name_agro_industria_e_comercio,0.0003094401487223144
product_category_name_fraldas_higiene,0.0002972461844443261
product_category_name_fashion_calcados,0.0002842219791132805
seller_state_MA,0.0002316155564901791
seller_state_MT,0.00021798922914147403
product_category_name_fashion_underwear_e_moda_praia,0.00020679875048409128
product_category_name_artigos_de_festas,0.00019685331702381622
customer_state_AP,0.00018607209315615671
product_category_name_tablets_impressao_imagem,0.00018477763931793522
product_category_name_construcao_ferramentas_ferramentas,0.00016957897004841893
product_category_name_fashion_roupa_feminina,0.00016167687112780818
product_category_name_cine_foto,0.00016140147204805793
product_category_name_pcs,0.00012727282525150862
customer_state_RR,0.00010749361089449333
product_category_name_musica,0.00010313311021587144
seller_state_PB,9.975992559894511e-05
product_category_name_portateis_casa_forno_e_cafe,9.796162771602686e-05
seller_state_CE,9.54385927197208e-05
product_category_name_portateis_cozinha_e_preparadores_de_alimentos,8.8824508379779e-05
product_category_name_moveis_colchao_e_estofado,8.76410799739126e-05
product_category_name_artes_e_artesanato,8.43428701480491e-05
product_category_name_fashion_esporte,8.057950771033082e-05
product_category_name_casa_conforto_2,7.32612321582441e-05
